,r2,rmse,strain,closest_strain,distance,ith
73,-0.4555155540297413,1.206447493275085,EC,PH,0.62277243,16.0
74,-0.9708473397865629,1.4038687046111444,EC,PP,0.63709169,17.0
75,-0.3857780080127289,1.17719072711806,EC,PK,0.64982547,18.0
76,0.37458764191300253,0.7908301701926879,EL,BI,0.04871739,0.0
77,0.310404663841358,0.8304187715596529,EL,CF,0.05585694,1.0
78,0.4566239655753589,0.7371404441655887,EL,LA,0.06531089,2.0
79,0.452067695087053,0.7402244962934884,EL,RP1,0.06742293,3.0
80,0.35514466891641283,0.8030288482262548,EL,KA,0.06804305,4.0
81,0.5045316019051942,0.7038951612952071,EL,RP2,0.07054841,5.0
82,0.4965433390710179,0.7095467996749638,EL,PAg1,0.08079407,6.0
83,-0.013767124668975894,1.0068600323128218,EL,PAg2,0.08578902,7.0
84,-2.3332518095956267,1.825719532018987,EL,EC,0.08640246,8.0
85,0.4775338024955349,0.7228182326867979,EL,PAg3,0.12993143,9.0
86,0.24529027810640935,0.8687403075105864,EL,SF1,0.13731168,10.0
87,0.05707994600174071,0.9710407066638639,EL,EA,0.14364686,11.0
88,0.4529419591755446,0.739633720718882,EL,PAl,0.15992701,12.0
89,-0.40265305254457817,1.1843365453048311,EL,PAr,0.54733448,13.0
90,-0.09402987188359546,1.0459588289620192,EL,PR1,0.5642139,14.0
91,-0.5979162715155284,1.2640871297167477,EL,PR2,0.57326107,15.0
92,-0.37567805546275834,1.1728930281414225,EL,PH,0.58221415,16.0
93,-1.5438023831619048,1.594930212630606,EL,PP,0.59653341,17.0
94,-0.5751472869028367,1.255048718935979,EL,PK,0.60926719,18.0
95,0.4448877380631322,0.7450585627565591,LA,RP1,0.04888202,0.0
96,0.4463853530521681,0.7440528522543483,LA,RP2,0.0520075,1.0
97,0.31855774324217634,0.8254951585308198,LA,BI,0.05234342,2.0
98,0.3525760941178302,0.8046265629981225,LA,CF,0.05948297,3.0
99,0.5246830128165103,0.6894323659239471,LA,EL,0.06531089,4.0
100,0.33925335638617826,0.8128632379520075,LA,KA,0.07166908,5.0
101,0.2844582616798643,0.8458970021936079,LA,SF1,0.11877077,6.0
102,0.470823243264069,0.7274453634025924,LA,PAg1,0.12487886,7.0
103,0.014790488117391365,0.9925772070134425,LA,EA,0.12510595,8.0
104,-0.07514576120712735,1.0368923575796702,LA,PAg2,0.12987381,9.0
105,-1.9176728269070882,1.7081196758152195,LA,EC,0.13048725,10.0
106,0.4411873197191557,0.7475377450542845,LA,PAg3,0.17401622,11.0
107,0.3363500422285439,0.8146471369687953,LA,PAl,0.2040118,12.0
108,-0.7601470688670946,1.3267053436491083,LA,PAr,0.59141927,13.0
109,-0.2939815685859233,1.1375331065889558,LA,PR1,0.60829869,14.0
110,-0.613077656753984,1.2700699416780084,LA,PR2,0.61734586,15.0
111,-0.4101177023322873,1.1874837692921498,LA,PH,0.62629894,16.0
112,-1.3199552775425203,1.5231399402361305,LA,PP,0.6406182,17.0
113,-0.672216594403408,1.2931421400617218,LA,PK,0.65335198,18.0
114,0.8794789847337652,0.3471613677617869,RP2,RP1,0.01034648,0.0
115,0.45789318832321635,0.7362790311266395,RP2,LA,0.0520075,1.0
116,0.4592992311981564,0.735323581018481,RP2,BI,0.05758094,2.0
117,0.35460288936462814,0.8033661124514595,RP2,CF,0.06472049,3.0
118,0.5720746753535247,0.6541600145579629,RP2,EL,0.07054841,4.0
119,0.4938553777344188,0.7114384177605114,RP2,KA,0.0769066,5.0
120,0.35726643717350914,0.8017066563441339,RP2,SF1,0.08667559,6.0
121,-0.03303819841629174,1.0163848672704123,RP2,EA,0.09301077,7.0
122,0.3488201060637649,0.8069571822198718,RP2,PAg1,0.13011638,8.0
123,-0.1714928814766159,1.0823552473548679,RP2,PAg2,0.13511133,9.0
124,-1.5930086619642627,1.6102821684302,RP2,EC,0.13572477,10.0
125,0.2940339222780892,0.8402178751501952,RP2,PAg3,0.17925374,11.0
126,0.446339360451123,0.7440837584229854,RP2,PAl,0.20924932,12.0
127,-0.48751814463524745,1.219638530317589,RP2,PAr,0.59665679,13.0
128,-0.10708938682129765,1.052183152697902,RP2,PR1,0.61353621,14.0
129,-0.561604696941852,1.249641827461713,RP2,PR2,0.62258338,15.0
130,-0.38096856963343995,1.1751461907496599,RP2,PH,0.63153646,16.0
131,-1.2560303494672587,1.5020087714348596,RP2,PP,0.64585572,17.0
132,-0.6643760936507916,1.2901070086046331,RP2,PK,0.6585895,18.0
133,0.8849753811849477,0.33915279567630274,RP1,RP2,0.01034648,0.0
134,0.4543530068202203,0.738679222111858,RP1,LA,0.04888202,1.0
135,0.41826783601481277,0.762713684147064,RP1,BI,0.05445546,2.0
136,0.32475393366076233,0.8217335738177185,RP1,CF,0.06159501,3.0
137,0.5381203660283107,0.6796172702129409,RP1,EL,0.06742293,4.0
138,0.49206840837648635,0.7126931959991721,RP1,KA,0.07378112,5.0
139,0.3641151116139132,0.7974239075837191,RP1,SF1,0.08355011,6.0
140,-0.06838987258649087,1.0336294658079799,RP1,EA,0.08988529,7.0
141,0.30675895232090344,0.8326109821994269,RP1,PAg1,0.1269909,8.0
142,-0.24098614831142418,1.1139955782279491,RP1,PAg2,0.13198585,9.0
143,-1.795645643103808,1.672018433840909,RP1,EC,0.13259929,10.0
144,0.23014224045308795,0.8774153859757161,RP1,PAg3,0.17612826,11.0
145,0.46515982328078775,0.7313276808101906,RP1,PAl,0.20612384,12.0
146,-0.5046291804138703,1.2266332705474259,RP1,PAr,0.59353131,13.0
147,-0.11483259472177187,1.0558563324249055,RP1,PR1,0.61041073,14.0
