,acc,mcc,Recall,Precision,strain,closest_strain,distance,ith
37,0.6830294530154277,0.16086100100261583,0.3872832369942196,0.3582887700534759,PR1,EA,0.68663466,18.0
38,0.8441379310344828,0.5569989738775957,0.7250859106529209,0.5910364145658263,PAr,PR1,0.02513106,0.0
39,0.8435603506405934,0.5417942936206104,0.6962457337883959,0.5878962536023055,PAr,PR2,0.03417823,1.0
40,0.8007017543859649,0.42986380229692756,0.6183745583038869,0.4985754985754986,PAr,PH,0.04313131,2.0
41,0.7869415807560137,0.45852837737368535,0.7282229965156795,0.47392290249433106,PAr,PP,0.05745057,3.0
42,0.8036684782608695,0.42610718626917865,0.5993150684931506,0.5043227665706052,PAr,PK,0.07018435,4.0
43,0.747275204359673,0.1695729700341044,0.3090277777777778,0.34099616858237547,PAr,PAg1,0.53929537,5.0
44,0.7012327773749093,0.19524147267353228,0.45357142857142857,0.3290155440414508,PAr,PAg2,0.54429032,6.0
45,0.7533783783783784,0.20811651571319859,0.3539518900343643,0.3678571428571429,PAr,EL,0.54733448,7.0
46,0.7437117607070021,0.2393461020261682,0.42857142857142855,0.3761194029850746,PAr,BI,0.57482577,8.0
47,0.7446662078458361,0.1635906498055077,0.29896907216494845,0.3425196850393701,PAr,CF,0.58196532,9.0
48,0.6557262569832403,0.1049220213609361,0.40425531914893614,0.25968109339407747,PAr,EC,0.58789276,10.0
49,0.7598371777476255,0.23030084307887114,0.3698630136986301,0.38848920863309355,PAr,PAg3,0.58843273,11.0
50,0.6875852660300137,0.07359065321284385,0.2920962199312715,0.2522255192878338,PAr,LA,0.59141927,12.0
51,0.7035003431708992,0.13929455524422768,0.3649122807017544,0.29295774647887324,PAr,RP1,0.59353131,13.0
52,0.7358757062146892,0.21047821692134902,0.40070921985815605,0.3553459119496855,PAr,KA,0.59415143,14.0
53,0.7366197183098592,0.15213811051425363,0.30824372759856633,0.32209737827715357,PAr,RP2,0.59665679,15.0
54,0.7379972565157751,0.16257187798684605,0.32167832167832167,0.32857142857142857,PAr,PAl,0.61842831,16.0
55,0.6904927133934767,0.17536845131372408,0.4507042253521127,0.3062200956937799,PAr,SF1,0.66342006,17.0
56,0.7112482853223594,0.2012971399088301,0.4479166666666667,0.329923273657289,PAr,EA,0.66975524,18.0
57,0.6476719944405838,0.09432299320590098,0.23010752688172043,0.41796875,EC,EL,0.08640246,0.0
58,0.7083916083916084,0.2800472150342348,0.3899782135076253,0.5664556962025317,EC,BI,0.11389375,1.0
59,0.6959887403237157,0.22994033888588125,0.30718954248366015,0.5529411764705883,EC,CF,0.1210333,2.0
60,0.6748251748251748,0.16718186854228967,0.26956521739130435,0.4901185770750988,EC,PAg1,0.12135235,3.0
61,0.6379182156133829,0.15458629636517096,0.38084632516703787,0.45,EC,PAg2,0.1263473,4.0
62,0.6523876404494382,0.14444269103518814,0.31317494600431967,0.4503105590062112,EC,LA,0.13048725,5.0
63,0.6678420310296191,0.19367580679835386,0.35853131749460043,0.48823529411764705,EC,RP1,0.13259929,6.0
64,0.7054545454545454,0.2738472564628088,0.38288288288288286,0.5647840531561462,EC,KA,0.13321941,7.0
65,0.6805755395683454,0.20515501984815593,0.30434782608695654,0.5303030303030303,EC,RP2,0.13572477,8.0
66,0.664804469273743,0.1419407872211336,0.25757575757575757,0.46484375,EC,PAg3,0.17048971,9.0
67,0.6534932956951306,0.113045002206666,0.24780701754385964,0.4329501915708812,EC,PAl,0.20048529,10.0
68,0.7005689900426743,0.29846439648046535,0.4900662251655629,0.5388349514563107,EC,SF1,0.20248804,11.0
69,0.6683133380381087,0.2018029712113795,0.3881578947368421,0.48097826086956524,EC,EA,0.20882322,12.0
70,0.6548364648573417,0.11173719679594137,0.24025974025974026,0.43359375,EC,PAr,0.58789276,13.0
71,0.6351351351351351,0.10161825944497165,0.2923076923076923,0.4104938271604938,EC,PR1,0.60477218,14.0
72,0.6038915913829048,0.0014544838393227629,0.21212121212121213,0.3223684210526316,EC,PR2,0.61381935,15.0
73,0.579250720461095,-0.03622879425745799,0.2106430155210643,0.29411764705882354,EC,PH,0.62277243,16.0
74,0.5547703180212014,-0.05001135662945733,0.25663716814159293,0.28292682926829266,EC,PP,0.63709169,17.0
75,0.6403631284916201,0.10944094830007739,0.2894168466522678,0.41875,EC,PK,0.64982547,18.0
76,0.8066485753052918,0.42739396634435955,0.6042402826855123,0.49709302325581395,EL,BI,0.04871739,0.0
77,0.8182441700960219,0.4009554461730156,0.4929078014184397,0.5325670498084292,EL,CF,0.05585694,1.0
78,0.8176229508196722,0.4677751477143774,0.6466431095406361,0.5228571428571429,EL,LA,0.06531089,2.0
79,0.8156808803301238,0.4753970457059778,0.68,0.5095367847411444,EL,RP1,0.06742293,3.0
80,0.8128986534372785,0.4422936248092255,0.6102941176470589,0.5123456790123457,EL,KA,0.06804305,4.0
81,0.8416608022519353,0.49076096078916864,0.5985130111524164,0.579136690647482,EL,RP2,0.07054841,5.0
82,0.8346938775510204,0.4589645844575187,0.549645390070922,0.5719557195571956,EL,PAg1,0.08079407,6.0
83,0.7643219724437998,0.37258640459649933,0.6292134831460674,0.4263959390862944,EL,PAg2,0.08578902,7.0
84,0.6520223152022315,0.0940213225731644,0.3992673992673993,0.24549549549549549,EL,EC,0.08640246,8.0
85,0.8346883468834688,0.46664743079732507,0.5709219858156028,0.5669014084507042,EL,PAg3,0.12993143,9.0
86,0.7489568845618915,0.3396662803630953,0.6101083032490975,0.4004739336492891,EL,SF1,0.13731168,10.0
87,0.7259615384615384,0.2268320133026747,0.4642857142857143,0.34300791556728233,EL,EA,0.14364686,11.0
88,0.8226027397260274,0.42558208498488637,0.5457875457875457,0.5246478873239436,EL,PAl,0.15992701,12.0
89,0.7574324324324324,0.21260140813949863,0.3591549295774648,0.3655913978494624,EL,PAr,0.54733448,13.0
90,0.7155647382920111,0.1508237083536816,0.3607142857142857,0.30149253731343284,EL,PR1,0.5642139,14.0
91,0.7218095881161377,0.15802459486693152,0.3617021276595745,0.30538922155688625,EL,PR2,0.57326107,15.0
92,0.7064220183486238,0.13788430682591768,0.362962962962963,0.28654970760233917,EL,PH,0.58221415,16.0
93,0.6382978723404256,0.03270163817165114,0.325,0.21212121212121213,EL,PP,0.59653341,17.0
94,0.7366283006093433,0.21147616728304328,0.4105263157894737,0.34615384615384615,EL,PK,0.60926719,18.0
95,0.7872487872487872,0.4226780970221149,0.5657142857142857,0.5609065155807366,LA,RP1,0.04888202,0.0
96,0.8061297220242338,0.4372138712624105,0.5029585798816568,0.6204379562043796,LA,RP2,0.0520075,1.0
97,0.7854694996572995,0.4055485235377492,0.5340909090909091,0.5578635014836796,LA,BI,0.05234342,2.0
98,0.8079056865464632,0.43410432725292586,0.47564469914040114,0.6384615384615384,LA,CF,0.05948297,3.0
99,0.8148907103825137,0.46453222710583353,0.5225988700564972,0.6445993031358885,LA,EL,0.06531089,4.0
100,0.7896995708154506,0.4184369945217043,0.5427728613569321,0.5696594427244582,LA,KA,0.07166908,5.0
101,0.76993006993007,0.4221902733500693,0.6342857142857142,0.524822695035461,LA,SF1,0.11877077,6.0
102,0.8181818181818182,0.4644435119882948,0.501432664756447,0.660377358490566,LA,PAg1,0.12487886,7.0
103,0.7013167013167013,0.21121860715930424,0.42857142857142855,0.3937007874015748,LA,EA,0.12510595,8.0
104,0.7402501839587933,0.32422342816349375,0.5353846153846153,0.4627659574468085,LA,PAg2,0.12987381,9.0
105,0.6560958421423537,0.14935416425987239,0.4322766570605187,0.3401360544217687,LA,EC,0.13048725,10.0
106,0.8057652711050103,0.4351594187120514,0.4915254237288136,0.628158844765343,LA,PAg3,0.17401622,11.0
107,0.7817679558011049,0.3604063881926753,0.4438040345821326,0.555956678700361,LA,PAl,0.2040118,12.0
108,0.6903137789904502,0.08572484581211416,0.2443820224719101,0.31985294117647056,LA,PAr,0.59141927,13.0
109,0.6673625608907446,0.07412718067193343,0.2792022792022792,0.30340557275541796,LA,PR1,0.60829869,14.0
110,0.6918367346938775,0.13830446370869065,0.3267605633802817,0.3515151515151515,LA,PR2,0.61734586,15.0
111,0.6751954513148543,0.10750672750630089,0.31952662721893493,0.32238805970149254,LA,PH,0.62629894,16.0
112,0.6277777777777778,0.04801848267482147,0.32664756446991405,0.2746987951807229,LA,PP,0.6406182,17.0
113,0.698009608785175,0.16307385463916563,0.35127478753541075,0.3701492537313433,LA,PK,0.65335198,18.0
