carbon,BI,CF,EA,EC,EL,KA,LA,PAg1,PAg2,PAg3,PAl,PAr,PH,PK,PP,PR1,PR2,RP1,RP2,SF1
Glycerol,225.0470601,197.9814922,1060.502384,8168.607955,651.9807415,318.9121269,366.4673804,1704.285423,570.1050067,1178.417055,326.4561931,3165.725336,2709.972089,3179.974419,4847.304927,6590.496109,3871.805308,754.5151943,703.8481212,178.2126133
Glycerol01,81.06792322,144.9004534,47.68068521,669.3071679,107.6965955,103.063435,86.64175778,88.03408691,71.71811947,110.9530728,80.90633704,1140.515145,1658.161982,1257.409652,1167.360438,1488.608057,942.9617866,89.41013062,76.03758351,56.39789253
Mannitol,608.9108701,555.8016092,268.1881617,6234.639254,533.2065005,1039.665335,483.3238514,1266.185142,608.4348236,828.1225088,393.9878314,2442.781526,4786.871065,5323.867562,35.78379261,3961.379674,-22.49766299,851.6870391,431.4496891,220.7299314
Sorbitol,781.7333831,1034.086441,5.258424193,7206.009737,593.0493267,1260.994592,7.810705312,9.798746427,-1.069269825,36.48683648,879.7215944,3127.326727,115.9222315,76.55161216,17.97553834,3898.376551,21.30649732,802.154976,578.5580697,308.0020668
Alanine,717.5358541,975.3813272,160.2397593,1089.310351,563.6312208,734.1167455,662.5164511,1038.708258,338.0499534,937.5094767,256.1740682,2870.187902,5039.311843,3301.869277,3907.982093,3338.215513,2558.155858,945.3074571,544.4370566,158.4080355
Serine,14.136979,149.9287481,15.39354772,21.59621,40.42155226,74.45514965,49.04281062,6.703918945,6.303749846,83.09469263,38.16800126,2330.760276,4126.210112,-6.424856398,1818.007823,1972.995184,1101.685532,16.1364286,10.01480759,0.078463331
Proline,149.0675036,88.42736712,761.1337424,31.1383256,406.9154221,167.9925439,24.510709,343.3243065,902.3713508,197.9926071,275.2525442,6517.616742,6482.572831,7612.040343,3430.504464,5840.438464,6495.845755,71.61638495,77.45389633,5.756616418
Proline01,90.25058066,146.4287716,44.51660534,8.00798825,105.2992857,90.95631621,31.07628239,141.8901444,96.65948448,123.2337521,23.26606033,1072.166943,1350.134655,1143.234254,676.2995853,899.9258891,744.4771208,111.9319932,105.2899547,7.092706874
Glutamine,77.82087695,1528.564294,338.3881779,29.1177429,569.9493789,728.57138,867.6953344,1101.221611,1078.036172,1138.356511,402.5597567,3467.252108,4293.519418,3842.54987,2832.655506,4340.700176,3813.019284,139.7204605,56.98047925,5.597572136
Arginine,-1.406296569,-2.536472294,-0.638615922,12.9357912,14.2141903,8.239579185,8.991337954,-2.935362564,-9.644685513,28.82518679,2.591348621,3211.301349,2534.64988,2924.500954,3200.071767,2394.953195,3188.556783,51.58961739,16.85060245,1.222675404
