Bug 1,Bug 2,Carbon,monoGrow_x,metDis,monoGrow_y,monoGrow24_x,monoGrow24_y,carbon_component_0,carbon_component_1,carbon_component_3,phy_strain_component_0_x,phy_strain_component_1_x,phy_strain_component_0_y,phy_strain_component_1_y
BI,BI,Lactose,244.2802774,0.0,244.2802774,-44.9356758814796,-44.9356758814796,4030.8857189822543,-8472.949601319571,822.9364983016548,-0.7807537139600523,0.0380225394363147,-0.7807537139600523,0.0380225394363147
BI,PAr,Xylose,809.4465804,12660.0197,331.8376188,41.32327663982721,-70.63842751327331,-262.62735676487785,-1831.719518216824,1225.075731282064,-0.7807537139600523,0.0380225394363147,1.5779525775593926,-0.0142748062335358
EC,PAg2,Succinate,155.6762744,28391.64622,456.2619447,-38.9156488000001,-11.932836788336088,-492.129761316511,3883.979543166541,-547.0296480788238,-0.6435193071495694,-0.04782846145587,-0.6309041661015486,-0.2015744697433372
SF1,BI,Proline,5.756616418,1824.987984,149.0675036,-7.776521933398044,-38.58526980872648,3883.9113678546114,9886.057996490275,-486.5582940690135,-0.7354472493977712,0.2471410927598533,-0.7807537139600523,0.0380225394363147
PR1,CF,Xylose,152.344323,15616.3939,1304.696793,-95.51499725188488,46.56944950121067,-262.62735676487785,-1831.719518216824,1225.075731282064,1.62148647467857,-0.002116133365859,-0.7747391645761742,0.0463737318058709
EL,BI,ArabinoseD,4.188936172,1468.161998,-7.381439851,-36.02486770101155,-44.43148630447115,-5001.488171724186,-2267.6661119247383,-359.92321590704427,-0.7347306548489613,-0.0440939376470185,-0.7807537139600523,0.0380225394363147
PH,RP2,Acetate,2146.296509,17953.62644,224.9884616,-98.5758698521746,18.57815977595305,-2127.4663066997928,1669.5403779506332,-745.3533607302422,1.675692322398025,0.0107785747182994,-0.7928518257374005,0.1173580381058817
PAg3,RP2,Raffinose,-5.387227892,1948.097629,406.0119235,0.0625558349248649,435.7508308178762,-4940.437649331323,-2342.738629531002,-271.3795787270663,-0.5989515583467925,-0.2484610553238693,-0.7928518257374005,0.1173580381058817
EC,LA,Proline,31.1383256,28495.55031,24.510709,-32.165528800000054,-0.958919117356004,3883.9113678546114,9886.057996490275,-486.5582940690135,-0.6435193071495694,-0.04782846145587,-0.7710003090347234,0.0770753917642925
PAg2,RP1,Sorbitol,-1.069269825,2536.243819,802.154976,-4.761089522898146,505.6648911365701,3025.109188570561,-4388.14781823144,-2140.1307152473296,-0.6309041661015486,-0.2015744697433372,-0.796280534436652,0.1132262738115668
PK,PH,Melezitose,-3.415649221,15536.57509,21.82358694,-81.84174308229409,-162.09864241251887,-5011.342115777467,-2263.3790096722782,-402.5875347805217,1.734465090778677,0.0343645341896359,1.675692322398025,0.0107785747182994
RP1,LA,Arabinogalactan,10.00470779,1713.459539,48.2560962,-37.44241167844177,29.04943988722061,-4581.420859279718,-1846.999838152701,-422.9077578641416,-0.796280534436652,0.1132262738115668,-0.7710003090347234,0.0770753917642925
PK,BI,Arginine,2924.500954,19353.87779,-1.406296569,-45.86328276454117,-42.97399144200779,-1129.935928584828,3502.6115764486026,-1543.010452599992,1.734465090778677,0.0343645341896359,-0.7807537139600523,0.0380225394363147
PAr,PK,Pyruvate01,673.8389179,12621.59356,955.7720498,40.164019525429694,78.54519661804,-3806.052493422824,-973.2049868701582,-91.69461650408572,1.5779525775593926,-0.0142748062335358,1.734465090778677,0.0343645341896359
EA,PR1,Uridine,104.1949592,16694.40038,872.3108195,-23.411125850281447,-91.01938936683734,-3560.7358050403977,-1562.526406150641,-599.4438837790732,-0.7286059140580324,0.2582533144674926,1.62148647467857,-0.002116133365859
EC,PP,Serine,21.59621,29016.95268,1818.007823,-32.61885225000003,11.218155611737645,-2788.449131408402,1881.6342611257503,-105.7903740546841,-0.6435193071495694,-0.04782846145587,1.7082373371805837,0.0228923513977414
BI,RP2,Sorbitol,781.7333831,1274.718934,578.5580697,284.41233552818886,445.35855692088217,3025.109188570561,-4388.14781823144,-2140.1307152473296,-0.7807537139600523,0.0380225394363147,-0.7928518257374005,0.1173580381058817
CF,RP2,Ribose,853.7904747,2621.418162,586.3287256,115.59161451899556,331.50696308227896,-1694.9022807554345,-240.82647191593367,1168.1224639327693,-0.7747391645761742,0.0463737318058709,-0.7928518257374005,0.1173580381058817
SF1,PP,Glucose,173.9363797,12040.1984,104.172226,77.68755961020031,-39.00558579260587,6993.702758671064,1677.726611654751,3077.1319408875897,-0.7354472493977712,0.2471410927598533,1.7082373371805837,0.0228923513977414
