,index,accuracy,mcc,recall,precision,accuracy_with_mono,mcc_with_mono,recall_with_mono,precision_with_mono,accuracy_without_mono,mcc_without_mono,recall_without_mono,precision_without_mono,accuracy_copy_model,mcc_copy_model,recall_copy_model,precision_copy_model
10,Galactose,0.8955223880597015,0.5823288312530667,0.5454545454545454,0.75,0.8589743589743589,0.40210615183248716,0.5555555555555556,0.4166666666666667,0.8666666666666667,0.3465234088789003,0.7222222222222222,0.21666666666666667,0.7983870967741935,0.05580684237796761,0.21875,0.12280701754385964
11,GlcNAc,0.9204545454545454,0.7004764860709116,0.6666666666666666,0.8333333333333334,0.8856382978723404,0.6119110353096799,0.9459459459459459,0.4605263157894737,0.8271276595744681,0.3449083762852435,1.0,0.14473684210526316,0.8176943699731903,0.4156178112390079,0.5507246376811594,0.5066666666666667
12,Glucose,0.8837209302325582,0.49742225735928036,0.35714285714285715,0.8333333333333334,0.8954081632653061,0.39555976835232876,0.4594594594594595,0.4473684210526316,0.9030612244897959,0.0,0.0,0.0,0.7793696275071633,0.17404721465177336,0.19444444444444445,0.42424242424242425
13,Glucose01,0.9230769230769231,0.40370517361463093,0.2857142857142857,0.6666666666666666,0.887468030690537,0.1873855997141816,0.45454545454545453,0.11627906976744186,0.8900255754475703,0.0,0.0,0.0,0.7945205479452054,0.0028617813126911667,0.10638297872340426,0.13157894736842105
14,Glutamine,0.9024390243902439,0.7658650512036441,0.8,0.8695652173913043,0.7958656330749354,0.5259536940737783,0.9285714285714286,0.4094488188976378,0.6847545219638242,0.15290329262233207,0.8571428571428571,0.047244094488188976,0.6552631578947369,0.108474786392167,0.4426229508196721,0.21774193548387097
15,Glycerol,0.7792207792207793,0.2987415189983908,0.2631578947368421,0.625,0.7661290322580645,0.10912406273952047,0.5714285714285714,0.045454545454545456,0.7473118279569892,-0.07127172144359961,0.0,0.0,0.7690140845070422,0.20090412315557304,0.5,0.1951219512195122
16,Glycerol01,0.8433734939759037,-0.045399860925305714,0.0,0.0,0.8839050131926122,0.12703025952242786,0.3076923076923077,0.10256410256410256,0.8891820580474934,-0.030252380206112196,0.0,0.0,0.8130311614730878,0.049634871624786206,0.14285714285714285,0.16666666666666666
17,Isoleucine,0.9367088607594937,0.8247193118387843,0.7368421052631579,1.0,0.8383838383838383,0.5774954137005803,0.693069306930693,0.6796116504854369,0.7853535353535354,0.3808428007473711,0.640625,0.39805825242718446,0.7642487046632125,0.43585695101014477,0.528,0.673469387755102
18,Lactose,0.8701298701298701,0.7111111111111111,0.7037037037037037,0.9047619047619048,0.8639798488664987,0.6696085412675937,0.8469387755102041,0.680327868852459,0.6801007556675063,0.03772406974008633,0.38095238095238093,0.06557377049180328,0.6358974358974359,-3.9847572654658386e-05,0.3050847457627119,0.15126050420168066
19,Maltose,0.9468085106382979,0.8707642922599073,0.8148148148148148,1.0,0.8844221105527639,0.7086056797800637,0.8469387755102041,0.7280701754385965,0.7964824120603015,0.5008301727009337,0.6460176991150443,0.6403508771929824,0.75,0.4415480724126042,0.55,0.7
20,Mannitol,0.8688524590163934,0.5736493059255897,0.5384615384615384,0.7777777777777778,0.8823529411764706,0.601687281167023,0.8974358974358975,0.4794520547945205,0.834733893557423,0.3910195965580476,0.8888888888888888,0.2191780821917808,0.7793696275071633,0.17404721465177336,0.42424242424242425,0.19444444444444445
21,Mannose,0.8690476190476191,0.1708488236301194,0.09090909090909091,0.5,0.8549618320610687,0.17016641394694454,1.0,0.03389830508474576,0.7786259541984732,0.07468600610705307,0.22,0.1864406779661017,0.6587301587301587,0.08928810285803253,0.19166666666666668,0.41818181818181815
22,Melezitose,0.9571428571428572,0.0,0.0,0.0,0.9717223650385605,0.0,0.0,0.0,0.9717223650385605,0.0,0.0,0.0,0.9741602067183462,0.0,0.0,0.0
23,Mix,0.9863013698630136,0.8107262147637538,0.6666666666666666,1.0,0.9597989949748744,0.0,0.0,0.0,0.949748743718593,0.07965198650122864,0.16666666666666666,0.0625,0.8601036269430051,0.16697063741004084,0.11538461538461539,0.42857142857142855
