,labeledStrain,env,monoGrow24
323,PAg2,Ribose,190.38609202116183
324,PAg2,Rhamnose,164.33143342988944
325,PAg2,Fructose,335.02543311812326
326,PAg2,Galactose,149.1717607713399
327,PAg2,Glucose,498.3835259034684
328,PAg2,Glucose01,31.59058032180837
329,PAg2,Mannose,150.87374742963516
330,PAg2,GlcNAc,314.0824461026133
331,PAg2,Acetate,-10.611096590468604
332,PAg2,Pyruvate,16.653606139226323
333,PAg2,Pyruvate01,5.496173235003312
334,PAg2,Fumarate,82.26802693702176
335,PAg2,Succinate,-11.932836788336088
336,PAg2,Citrate,-12.49928937018194
337,PAg2,Glycerol,315.2827351707649
338,PAg2,Glycerol01,57.86228615204391
339,PAg2,Mannitol,502.88391412942843
340,PAg2,Sorbitol,-4.761089522898146
341,PAg2,Alanine,-19.88009041513544
342,PAg2,Serine,2.803815726905213
343,PAg2,Proline,-7.823530720007625
344,PAg2,Proline01,-21.405934242625566
345,PAg2,Glutamine,39.47848589155035
346,PAg2,Arginine,-26.328713530957433
347,PAg2,Trehalose,450.35603379443876
348,PAg2,Cellobiose,-11.913312439936705
349,PAg2,Maltose,47.787671325646436
350,PAg2,Sucrose,599.8065591527396
351,PAg2,Sucrose01,30.50986891821799
352,PAg2,Lactose,-14.951120829715931
353,PAg2,Raffinose,-12.772517317246866
354,PAg2,Melezitose,-8.742321156927348
355,PAg2,Arabinogalactan,-2.8956727440346413
356,PAg2,Isoleucine,-17.58207867336398
357,PAg2,Uridine,-23.399979230786702
358,PAg2,Mix,418.56719893798254
359,PAg2,Water,-4.219988979991399
360,PAg3,ArabinoseD,-2.7868464014133
361,PAg3,ArabinoseL,266.9897938484264
362,PAg3,Xylose,125.69044603174723
363,PAg3,Ribose,200.8247018621521
364,PAg3,Rhamnose,186.44289649386337
365,PAg3,Fructose,278.94813195716273
366,PAg3,Galactose,325.65286976705187
367,PAg3,Glucose,349.4155930844882
368,PAg3,Glucose01,59.36297285653245
369,PAg3,Mannose,281.90914993220935
370,PAg3,GlcNAc,270.15683374067055
371,PAg3,Acetate,6.493217606349957
372,PAg3,Pyruvate,42.5660432528249
373,PAg3,Pyruvate01,21.262622369375208
374,PAg3,Fumarate,132.38438871454116
375,PAg3,Succinate,5.772136453625876
376,PAg3,Citrate,11.380000674275381
377,PAg3,Glycerol,331.9681008918801
