,Bug 1,metDis,Bug 2
107,LA,1700.9966698010203,RP1
108,LA,1950.6247413355354,EA
109,LA,1782.2512931250135,SF1
110,LA,1562.5004362673228,BI
111,LA,2795.389713328424,KA
112,LA,2667.3989272412723,CF
113,LA,1958.386314399429,PAg2
114,LA,2908.8428174382193,PAg1
115,LA,1947.9955083144575,PAl
116,LA,1789.14134171119,PAg3
117,LA,17911.49960311636,PH
118,LA,19252.873742536234,PK
119,LA,11559.034080653213,PP
120,RP2,15216.976273356868,PR2
121,RP2,16865.36630623876,PR1
122,RP2,12654.277174014935,PAr
123,RP2,28048.304712359903,EC
124,RP2,1254.4327355890598,EL
125,RP2,1343.8157521889746,LA
126,RP2,0.0,RP2
127,RP2,961.7309001818871,RP1
128,RP2,1911.9948913703192,EA
129,RP2,1878.070861995009,SF1
130,RP2,1274.623809937317,BI
131,RP2,2486.794458461377,KA
132,RP2,2642.0062118889164,CF
133,RP2,2258.650764193982,PAg2
134,RP2,2872.20829704289,PAg1
135,RP2,1478.6286884390447,PAl
136,RP2,1995.791350669588,PAg3
137,RP2,17972.29297703809,PH
138,RP2,19422.540244956104,PK
139,RP2,11727.754019820024,PP
140,RP1,14953.272073019225,PR2
141,RP1,16365.721565116271,PR1
142,RP1,12263.134979153072,PAr
143,RP1,27399.32923808241,EC
144,RP1,1441.9377417255032,EL
145,RP1,1700.9966698010203,LA
146,RP1,961.7309001818871,RP2
147,RP1,0.0,RP1
148,RP1,2593.5948478097425,EA
149,RP1,2621.7235423356283,SF1
150,RP1,1599.9236215613575,BI
151,RP1,2066.5108328768692,KA
152,RP1,2325.1541437904166,CF
153,RP1,2554.7324140974774,PAg2
154,RP1,2608.5250565422803,PAg1
155,RP1,1928.982981430007,PAl
156,RP1,2083.5674293693564,PAg3
157,RP1,17579.76636455664,PH
158,RP1,18895.514991582353,PK
159,RP1,11615.722726749675,PP
160,EA,15395.631946963245,PR2
161,EA,16956.78126920053,PR1
162,EA,12662.283044582111,PAr
163,EA,28716.2170295667,EC
164,EA,1974.8079154157456,EL
165,EA,1950.6247413355354,LA
166,EA,1911.9948913703192,RP2
167,EA,2593.5948478097425,RP1
168,EA,0.0,EA
169,EA,1683.5325290193723,SF1
170,EA,2088.040506859802,BI
171,EA,3561.853178462832,KA
172,EA,3605.0018667012523,CF
173,EA,2275.6988936472108,PAg2
174,EA,3506.637611566845,PAg1
175,EA,2178.887780962288,PAl
176,EA,2286.8098201695025,PAg3
177,EA,18112.744959616153,PH
178,EA,19674.026852092844,PK
179,EA,11459.550205699135,PP
180,SF1,16150.968305955219,PR2
181,SF1,17747.937877765147,PR1
182,SF1,13369.988718870107,PAr
183,SF1,29186.17371778387,EC
184,SF1,2075.279829644963,EL
185,SF1,1782.2512931250135,LA
186,SF1,1878.070861995009,RP2
187,SF1,2621.7235423356283,RP1
188,SF1,1683.5325290193723,EA
189,SF1,0.0,SF1
190,SF1,1826.975472767678,BI
191,SF1,3738.3507827733592,KA
192,SF1,3702.431588757899,CF
193,SF1,2623.7916946426676,PAg2
194,SF1,4227.819253262077,PAg1
195,SF1,2220.970440139498,PAl
196,SF1,2982.9602104315277,PAg3
197,SF1,18823.50001626294,PH
198,SF1,20221.06623832296,PK
199,SF1,12171.394052536147,PP
200,BI,15614.389073074864,PR2
201,BI,16896.13890263137,PR1
202,BI,12641.63088828872,PAr
203,BI,28079.36712918617,EC
204,BI,1460.2985986379354,EL
205,BI,1562.5004362673228,LA
206,BI,1274.623809937317,RP2
207,BI,1599.9236215613575,RP1
208,BI,2088.040506859802,EA
209,BI,1826.975472767678,SF1
210,BI,0.0,BI
211,BI,2247.2230025699937,KA
212,BI,2434.0335655399963,CF
213,BI,2410.6099381719014,PAg2
214,BI,3175.9135324085782,PAg1
215,BI,2049.3442377584183,PAl
216,BI,2295.5000785745583,PAg3
217,BI,18310.78202063494,PH
218,BI,19372.305250234775,PK
219,BI,11878.462030346196,PP
220,KA,14931.738289102268,PR2
221,KA,15840.35253745439,PR1
