,Bug 1,Bug 2,Carbon,1 on 2: Effect,2 on 1: Effect,monoGrow_x,metDis,monoGrow_y,monoGrow24_x,monoGrow24_y,carbon_component_0,carbon_component_1,carbon_component_2,carbon_component_3,phy_strain_component_0_x,phy_strain_component_1_x,phy_strain_component_0_y,phy_strain_component_1_y
10,CF,BI,Acetate,0.828841824,0.0,-0.8893934321849079,0.0866840607319109,-0.8926908272496848,-0.6614988543957256,-0.6506645306432338,-2.580535726208836,0.5650094419732903,0.4571306690578383,-0.212694531157512,-0.7747391645761742,0.0463737318058709,-0.7807537139600523,0.0380225394363147
11,EC,BI,Acetate,1.355093912,3.216960884,-0.6714095576103308,1.0,-0.8926908272496848,-0.570535161343051,-0.6506645306432338,-2.580535726208836,0.5650094419732903,0.4571306690578383,-0.212694531157512,-0.6435193071495694,-0.04782846145587,-0.7807537139600523,0.0380225394363147
12,EA,BI,Acetate,1.607581025,-0.02934184,-0.7251652754298691,0.0743620928938052,-0.8926908272496848,-0.6969750192550556,-0.6506645306432338,-2.580535726208836,0.5650094419732903,0.4571306690578383,-0.212694531157512,-0.7286059140580324,0.2582533144674926,-0.7807537139600523,0.0380225394363147
13,PK,BI,Acetate,0.0,-0.403332389,0.058769084520143,0.6899124599606403,-0.8926908272496848,-0.488935088899519,-0.6506645306432338,-2.580535726208836,0.5650094419732903,0.4571306690578383,-0.212694531157512,1.734465090778677,0.0343645341896359,-0.7807537139600523,0.0380225394363147
14,PR1,BI,Acetate,3.401265982,-0.06050446,0.0857137326009827,0.601727910208818,-0.8926908272496848,-0.548260351794042,-0.6506645306432338,-2.580535726208836,0.5650094419732903,0.4571306690578383,-0.212694531157512,1.62148647467857,-0.002116133365859,-0.7807537139600523,0.0380225394363147
15,PAr,BI,Acetate,0.620757363,0.095357713,-0.170784030852782,0.4502106771184596,-0.8926908272496848,-0.712932430660846,-0.6506645306432338,-2.580535726208836,0.5650094419732903,0.4571306690578383,-0.212694531157512,1.5779525775593926,-0.0142748062335358,-0.7807537139600523,0.0380225394363147
16,PR2,BI,Acetate,0.0,0.093658482,0.0057326308394286,0.556080519950359,-0.8926908272496848,-0.7095922102676157,-0.6506645306432338,-2.580535726208836,0.5650094419732903,0.4571306690578383,-0.212694531157512,1.6398755564620169,0.0056531287404293,-0.7807537139600523,0.0380225394363147
17,PH,BI,Acetate,2.957433409,-0.022817298,0.0502274152175501,0.6521080741026533,-0.8926908272496848,-0.2799614171626033,-0.6506645306432338,-2.580535726208836,0.5650094419732903,0.4571306690578383,-0.212694531157512,1.675692322398025,0.0107785747182994,-0.7807537139600523,0.0380225394363147
18,PP,BI,Acetate,3.096874138,-0.050831604,0.3973808680567545,0.4230316864228582,-0.8926908272496848,0.0391412849133824,-0.6506645306432338,-2.580535726208836,0.5650094419732903,0.4571306690578383,-0.212694531157512,1.7082373371805837,0.0228923513977414,-0.7807537139600523,0.0380225394363147
19,PAl,CF,Acetate,0.0,0.0,-0.8248470635781311,0.1085572288628698,-0.8893934321849079,-0.9954667879672694,-0.6614988543957256,-2.580535726208836,0.5650094419732903,0.4571306690578383,-0.212694531157512,-0.5643511278633632,-0.250667083381068,-0.7747391645761742,0.0463737318058709
20,PAg2,CF,Acetate,0.0,0.0,-0.968978488963768,0.1196952763861345,-0.8893934321849079,-0.6867794658766672,-0.6614988543957256,-2.580535726208836,0.5650094419732903,0.4571306690578383,-0.212694531157512,-0.6309041661015486,-0.2015744697433372,-0.7747391645761742,0.0463737318058709
