,labeledStrain,env,monoGrow
359,PR1,Water,0.0
360,PAg1,ArabinoseD,0.9967279681269474
361,PAg1,ArabinoseL,685.5277091995928
362,PAg1,Xylose,693.9718436942966
363,PAg1,Ribose,921.4839883043124
364,PAg1,Rhamnose,1029.9342072932038
365,PAg1,Fructose,1025.4898896063014
366,PAg1,Galactose,909.1049193949094
367,PAg1,Glucose,767.9964303689077
368,PAg1,Glucose01,80.14782650801897
369,PAg1,Mannose,1281.8227503689427
370,PAg1,GlcNAc,1504.7109108397383
371,PAg1,Acetate,16.69558914579693
372,PAg1,Pyruvate,1123.308469430907
373,PAg1,Pyruvate01,121.54282046654204
374,PAg1,Fumarate,383.7134739716317
375,PAg1,Succinate,623.8148948401488
376,PAg1,Citrate,466.22637610929473
377,PAg1,Glycerol,1716.6021925617615
378,PAg1,Glycerol01,86.44860186757421
379,PAg1,Mannitol,1266.1851416376037
380,PAg1,Sorbitol,9.798746426530784
381,PAg1,Alanine,1038.708258275825
382,PAg1,Serine,6.703918944884322
383,PAg1,Proline,343.32430653668723
384,PAg1,Proline01,141.26101130386212
385,PAg1,Glutamine,1101.2216114112323
386,PAg1,Arginine,-2.9676295962426598
387,PAg1,Trehalose,1143.8628810420892
388,PAg1,Cellobiose,1665.5240170542045
389,PAg1,Maltose,806.459345709244
390,PAg1,Sucrose,1075.6256780032884
391,PAg1,Sucrose01,73.57724060667431
392,PAg1,Lactose,-3.419818259946851
393,PAg1,Raffinose,-0.5361340249106661
394,PAg1,Melezitose,-4.452316026915241
395,PAg1,Arabinogalactan,6.143840553429754
396,PAg1,Isoleucine,-6.700279365275264
397,PAg1,Uridine,43.96733510602928
398,PAg1,Mix,863.3217459876164
399,PAg1,Water,0.0
400,PR2,ArabinoseD,-3.1140937554165475
401,PR2,ArabinoseL,4388.366418800211
402,PR2,Xylose,-12.815185957402946
403,PR2,Ribose,59.45604232688095
404,PR2,Rhamnose,-19.21303019901381
405,PR2,Fructose,2335.5276625074484
406,PR2,Galactose,647.3051347537688
407,PR2,Glucose,3896.247216656833
408,PR2,Glucose01,721.8115054721668
409,PR2,Mannose,1153.577066085213
410,PR2,GlcNAc,4488.518902014648
411,PR2,Acetate,1801.8578316955984
412,PR2,Pyruvate,2739.3076860577485
413,PR2,Pyruvate01,522.8640804611038
414,PR2,Fumarate,2174.0801912369475
415,PR2,Succinate,2459.959276020636
416,PR2,Citrate,1789.2912662485005
417,PR2,Glycerol,3875.065865599624
418,PR2,Glycerol01,944.0934579790792
419,PR2,Mannitol,-19.86105727735014
420,PR2,Sorbitol,9.072296902774156
421,PR2,Alanine,2610.0396322033075
422,PR2,Serine,1126.6268399194028
423,PR2,Proline,6722.638644614176
424,PR2,Proline01,766.9017846594738
425,PR2,Glutamine,4132.829567119155
426,PR2,Arginine,3303.603274288844
427,PR2,Trehalose,6197.522364289578
428,PR2,Cellobiose,-6.003246659934916
429,PR2,Maltose,-26.36691313610504
430,PR2,Sucrose,5648.829120719982
431,PR2,Sucrose01,393.9186361422238
432,PR2,Lactose,-25.703289374414798
433,PR2,Raffinose,-26.172105744130132
434,PR2,Melezitose,-20.628458415788717
435,PR2,Arabinogalactan,200.30161671217436
436,PR2,Isoleucine,3336.2545905652887
437,PR2,Uridine,67.7961957598485
438,PR2,Mix,3272.0449388504708
439,PR2,Water,0.0
440,LA,ArabinoseD,5.215996473530367
441,LA,ArabinoseL,570.5994619605885
442,LA,Xylose,554.3643897728643
443,LA,Ribose,661.2274215844183
444,LA,Rhamnose,528.6002890785057
445,LA,Fructose,568.0747521678641
446,LA,Galactose,701.3263301923793
447,LA,Glucose,433.7442454317557
448,LA,Glucose01,53.82099055923448
449,LA,Mannose,692.0453706192477
450,LA,GlcNAc,385.9191478443819
451,LA,Acetate,79.29893934327015
452,LA,Pyruvate,429.6173254315761
453,LA,Pyruvate01,57.463687391079816
454,LA,Fumarate,73.85494464906401
455,LA,Succinate,36.7236408408113
456,LA,Citrate,301.5365523948286
457,LA,Glycerol,404.1172586989594
458,LA,Glycerol01,88.22402737266702
459,LA,Mannitol,483.3238514085149
460,LA,Sorbitol,18.252631170677542
461,LA,Alanine,667.5325678981258
462,LA,Serine,49.04281061623681
463,LA,Proline,24.510708995600798
464,LA,Proline01,38.873881457070524
465,LA,Glutamine,882.095511523248
466,LA,Arginine,13.292784312390497
467,LA,Trehalose,508.2381872618544
468,LA,Cellobiose,560.527415000312
469,LA,Maltose,622.4560098501101
470,LA,Sucrose,423.5670679222554
471,LA,Sucrose01,50.39876506411736
472,LA,Lactose,45.903887909266246
473,LA,Raffinose,616.997650657388
474,LA,Melezitose,19.983727830532985
475,LA,Arabinogalactan,48.2560962012775
476,LA,Isoleucine,14.617635995901196
477,LA,Uridine,62.013305231701565
478,LA,Mix,578.5222230059439
479,LA,Water,0.0
480,BI,ArabinoseD,-6.838340429391451
481,BI,ArabinoseL,678.1262155309411
482,BI,Xylose,806.4265920555804
483,BI,Ribose,741.153818714962
484,BI,Rhamnose,405.1937273926326
485,BI,Fructose,696.5541160652175
486,BI,Galactose,826.828703271474
487,BI,Glucose,19.35726057768829
488,BI,Glucose01,36.45230849971461
489,BI,Mannose,801.7924073662639
490,BI,GlcNAc,720.706732359851
491,BI,Acetate,16.32781934499326
492,BI,Pyruvate,451.20148707113526
493,BI,Pyruvate01,55.14055972855249
494,BI,Fumarate,40.28343251949013
495,BI,Succinate,-1.1145600078177722
496,BI,Citrate,128.97444813131324
497,BI,Glycerol,225.04706014171904
498,BI,Glycerol01,81.06792321973273
499,BI,Mannitol,608.9108700595265
500,BI,Sorbitol,775.8731873712985
501,BI,Alanine,717.5358541316601
502,BI,Serine,12.453898696920303
503,BI,Proline,150.2000187417641
504,BI,Proline01,93.71300277384944
505,BI,Glutamine,85.73275777204412
506,BI,Arginine,-3.5631535000460417
507,BI,Trehalose,658.8566621821027
508,BI,Cellobiose,705.4811609741876
509,BI,Maltose,689.8481180421516
510,BI,Sucrose,11.104279826200012
511,BI,Sucrose01,-3.943373998029301
512,BI,Lactose,244.28027744390224
513,BI,Raffinose,4.478826434051825
514,BI,Melezitose,-1.92771693516022
515,BI,Arabinogalactan,11.892308693836751
516,BI,Isoleucine,-12.406906427633317
517,BI,Uridine,213.90475968372937
518,BI,Mix,381.24868705284496
519,BI,Water,0.0
520,RP2,ArabinoseD,24.554051027557307
521,RP2,ArabinoseL,515.9039568865051
522,RP2,Xylose,735.3613526927749
523,RP2,Ribose,586.1565902633494
524,RP2,Rhamnose,595.3152728952771
525,RP2,Fructose,608.5594673431235
526,RP2,Galactose,599.2596334686083
527,RP2,Glucose,493.98492601048827
528,RP2,Glucose01,64.63300330111463
529,RP2,Mannose,587.4929101959481
530,RP2,GlcNAc,729.7339223913174
531,RP2,Acetate,231.75937589262185
532,RP2,Pyruvate,424.0324949454148
533,RP2,Pyruvate01,50.40065632116796
534,RP2,Fumarate,14.725136996533593
535,RP2,Succinate,12.166824095965351
536,RP2,Citrate,258.6019094747502
537,RP2,Glycerol,705.0461194175082
538,RP2,Glycerol01,75.86544818061395
539,RP2,Mannitol,431.2775538056429
540,RP2,Sorbitol,583.5759885441921
541,RP2,Alanine,558.8861668224451
542,RP2,Serine,11.479952404307936
543,RP2,Proline,77.28176100591202
544,RP2,Proline01,105.1178194173807
545,RP2,Glutamine,56.80834391798851
546,RP2,Arginine,16.99982184373266
547,RP2,Trehalose,642.0726862230105
548,RP2,Cellobiose,755.0981247935024
549,RP2,Maltose,557.0670511419771
550,RP2,Sucrose,701.863640842656
551,RP2,Sucrose01,52.62038659629923
552,RP2,Lactose,561.6935296627597
553,RP2,Raffinose,405.8397881282093
554,RP2,Melezitose,11.470017472032396
555,RP2,Arabinogalactan,32.64506955254467
556,RP2,Isoleucine,8.474650701225755
557,RP2,Uridine,18.03921150268729
558,RP2,Mix,435.3640565112789
559,RP2,Water,0.0
560,RP1,ArabinoseD,4.682713362244272
561,RP1,ArabinoseL,846.008848032136
562,RP1,Xylose,852.2209742216302
563,RP1,Ribose,735.5580839192651
564,RP1,Rhamnose,787.9436859458076
565,RP1,Fructose,812.7472599776522
566,RP1,Galactose,809.6196693758859
567,RP1,Glucose,633.6833395225792
568,RP1,Glucose01,48.60607778041003
569,RP1,Mannose,800.316239535126
570,RP1,GlcNAc,879.8551855968474
571,RP1,Acetate,374.47631411066857
572,RP1,Pyruvate,476.5466571074353
573,RP1,Pyruvate01,49.49144113575903
574,RP1,Fumarate,3.5737603577426853
575,RP1,Succinate,19.86203445239107
576,RP1,Citrate,355.0048137574903
577,RP1,Glycerol,758.1529639693481
578,RP1,Glycerol01,89.86482396507267
579,RP1,Mannitol,894.9356787393016
580,RP1,Sorbitol,802.4966980215522
581,RP1,Alanine,915.3361825501332
582,RP1,Serine,17.84758857608699
583,RP1,Proline,72.19226089744575
584,RP1,Proline01,103.91269923600385
585,RP1,Glutamine,143.03001714538414
586,RP1,Arginine,51.93133941269923
587,RP1,Trehalose,629.502338404923
588,RP1,Cellobiose,785.3273966039987
589,RP1,Maltose,686.4081349037723
590,RP1,Sucrose,814.0146109038508
591,RP1,Sucrose01,57.795973699294336
592,RP1,Lactose,705.7641461235919
593,RP1,Raffinose,675.4912397230144
594,RP1,Melezitose,7.176446455538667
595,RP1,Arabinogalactan,10.959622532900768
596,RP1,Isoleucine,2.4685130945905485
597,RP1,Uridine,56.5492678552439
598,RP1,Mix,528.8901018854745
599,RP1,Water,0.0
600,EL,ArabinoseD,4.18893617161757
601,EL,ArabinoseL,653.2726995846454
602,EL,Xylose,881.0785403204743
603,EL,Ribose,789.5538124449025
604,EL,Rhamnose,401.6829929439232
605,EL,Fructose,641.4278871985229
606,EL,Galactose,985.0814980666514
607,EL,Glucose,546.7639874915524
608,EL,Glucose01,47.162079682066405
609,EL,Mannose,722.0398760767741
610,EL,GlcNAc,482.4285663387196
611,EL,Acetate,328.8236062205116
612,EL,Pyruvate,398.8354950463241
613,EL,Pyruvate01,50.67584716453848
614,EL,Fumarate,273.9181433022103
615,EL,Succinate,580.493509427151
616,EL,Citrate,377.1479789086316
617,EL,Glycerol,654.3671502835597
618,EL,Glycerol01,107.33442089330606
619,EL,Mannitol,533.2065004556389
620,EL,Sorbitol,607.0228444690874
621,EL,Alanine,565.2870820926079
622,EL,Serine,40.421552258242286
623,EL,Proline,404.290379876663
624,EL,Proline01,116.6291643651018
625,EL,Glutamine,568.0429008332426
626,EL,Arginine,14.214190295466436
627,EL,Trehalose,521.3341387020193
628,EL,Cellobiose,516.1995088640374
629,EL,Maltose,677.3950470438393
630,EL,Sucrose,544.0546151795693
631,EL,Sucrose01,39.24654704076579
632,EL,Lactose,24.466399087726472
633,EL,Raffinose,514.0158805479493
634,EL,Melezitose,11.584238693123323
635,EL,Arabinogalactan,30.0201589624204
