labeledStrain,env,monoGrow
PR1,Xylose,152.344323
PR1,Ribose,838.0532335
PR1,Rhamnose,44.31295816
PR1,Fructose,4171.566273
PR1,Galactose,4683.986689
PR1,Glucose,3933.24502
PR1,Glucose01,1014.577994
PR1,Mannose,1589.935679
PR1,GlcNAc,1387.707924
PR1,Acetate,2327.338169
PR1,Pyruvate,3732.636905
PR1,Pyruvate01,514.7024248
PR1,Fumarate,2875.332985
PR1,Succinate,3247.044977
PR1,Citrate,2570.866751
PR1,Glycerol,6590.496109
PR1,Glycerol01,1488.608057
PR1,Mannitol,3961.379674
PR1,Sorbitol,3898.376551
PR1,Alanine,3338.215513
PR1,Serine,1972.995184
PR1,Proline,5840.438464
PR1,Proline01,899.9258891
PR1,Glutamine,4340.700176
PR1,Arginine,2394.953195
PR1,Trehalose,4314.168513
PR1,Cellobiose,22.13129545
PR1,Maltose,18.97752095
PR1,Sucrose,18.50185212
PR1,Sucrose01,-0.801163814
PR1,Lactose,-17.41425889
PR1,Raffinose,-28.78168851
PR1,Melezitose,-9.327507141
PR1,Arabinogalactan,241.0238022
PR1,Isoleucine,3321.567434
PR1,Uridine,872.3108195
PR1,Mix,2661.846855
PR1,Water,0
PAg1,ArabinoseD,0.996727968
PAg1,ArabinoseL,685.5277092
PAg1,Xylose,693.9718437
PAg1,Ribose,921.4839883
PAg1,Rhamnose,1024.439588
PAg1,Fructose,1025.48989
PAg1,Galactose,900.1269488
PAg1,Glucose,731.3316399
PAg1,Glucose01,83.56343619
PAg1,Mannose,1281.82275
PAg1,GlcNAc,1504.710911
PAg1,Acetate,15.02481971
PAg1,Pyruvate,1075.153071
PAg1,Pyruvate01,122.0155996
PAg1,Fumarate,453.0155802
PAg1,Succinate,623.8148948
PAg1,Citrate,436.7200356
PAg1,Glycerol,1704.285423
PAg1,Glycerol01,88.03408691
PAg1,Mannitol,1266.185142
PAg1,Sorbitol,9.798746427
PAg1,Alanine,1038.708258
PAg1,Serine,6.703918945
PAg1,Proline,343.3243065
PAg1,Proline01,141.8901444
PAg1,Glutamine,1101.221611
PAg1,Arginine,-2.935362564
PAg1,Trehalose,1114.148365
PAg1,Cellobiose,1665.597062
PAg1,Maltose,757.2328695
PAg1,Sucrose,1031.357254
PAg1,Sucrose01,73.53730748
PAg1,Lactose,-1.872062597
PAg1,Raffinose,-2.160239188
PAg1,Melezitose,-10.31875889
PAg1,Arabinogalactan,6.303480536
PAg1,Isoleucine,-10.77191519
PAg1,Uridine,44.19359528
PAg1,Mix,851.9233505
PAg1,Water,0
PR2,ArabinoseD,-18.49639049
PR2,ArabinoseL,4385.911152
PR2,Xylose,-10.07006193
PR2,Ribose,57.00077517
PR2,Rhamnose,-23.19915322
PR2,Fructose,2348.146038
PR2,Galactose,644.8498676
PR2,Glucose,3865.33553
PR2,Glucose01,715.887703
PR2,Mannose,1151.121799
PR2,GlcNAc,4245.945693
PR2,Acetate,1795.25373
PR2,Pyruvate,2778.361245
PR2,Pyruvate01,520.5155611
PR2,Fumarate,2168.98278
PR2,Succinate,2457.504009
PR2,Citrate,1786.835999
PR2,Glycerol,3871.805308
PR2,Glycerol01,942.9617866
PR2,Mannitol,-22.49766299
PR2,Sorbitol,21.30649732
PR2,Alanine,2558.155858
PR2,Serine,1101.685532
PR2,Proline,6495.845755
PR2,Proline01,744.4771208
PR2,Glutamine,3813.019284
PR2,Arginine,3188.556783
PR2,Trehalose,6169.103705
PR2,Cellobiose,-28.48206877
PR2,Maltose,-29.63951558
PR2,Sucrose,5644.208115
PR2,Sucrose01,393.5835826
PR2,Lactose,-31.57376752
PR2,Raffinose,-28.62737291
PR2,Melezitose,-23.97692756
PR2,Arabinogalactan,197.8463496
