,y_train
10945,-0.544453801
8451,0.0
13472,-1.777240655
5961,-4.144888665
9951,0.05568509
15225,2.043843969
12030,-2.506946119
6060,-1.470091519
11014,0.257252516
10398,-0.004371822
8027,0.0
2673,-0.238318231
10691,0.051165508
3887,0.0
4427,0.0
13733,2.776305854
9547,-0.042346254
14339,-3.226951926
14124,-0.829802559
1494,3.997048242
5438,-2.258498636
4505,1.563929811
13845,-2.154038952
2709,-1.495578384
12944,1.266196635
10451,-0.988367423
9214,-0.415859417
4190,-0.634222411
1409,3.138242311
1878,-0.737213154
3902,-0.106081805
5416,0.0
5346,-0.625985458
11238,-1.428396162
2288,-2.394332213
10923,-0.032399437
10589,0.0
15073,-1.760886597
2235,0.261159547
14177,-0.574153259
961,0.119650565
10087,-0.582618839
14661,-1.008819348
13724,1.215005701
9804,-1.320769234
11902,2.505069058
11298,0.773013022
9659,0.024500439
5029,-1.846782433
9109,-0.421746797
448,-0.431462916
6658,-0.525674961
331,0.0
14368,0.0
6951,2.666942832
10509,-0.279059065
1009,-0.014122535
13022,-0.798728794
1515,4.128547177
13958,-0.230483526
14382,-0.796680474
2519,-0.314547615
14886,0.0
99,-0.908266797
10510,-0.534326016
700,1.487480161
14164,0.0
12865,0.0
9873,0.482149411
8563,0.344176275
9470,0.0
3383,0.253089696
8620,-0.622593979
8717,-2.186359207
12848,-0.717030981
14659,-1.386804296
6405,-0.021378747
6199,3.498947266
10817,1.692903776
5275,-0.06601236
2376,3.62062231
5675,-0.516532431
13793,-1.465677265
6606,-0.281899915
1479,0.0
8418,-0.799293821
9688,0.450139963
2579,0.180532222
12922,0.0
9037,-1.015935189
2359,0.0
3428,-0.732294085
1358,0.0
1501,-1.40894268
14122,0.06782945
10685,0.627734192
2398,0.0
10927,-2.164379016
2516,0.014206677
7142,-0.568489667
9957,-0.552123607
12235,-1.45838378
8734,0.0
12309,-1.34396537
6303,-0.01473502
7133,-0.539094818
5302,-0.846559737
4565,-0.260396448
9486,0.09191283
12506,-2.645035549
1449,0.394317709
14941,1.896593516
1825,-0.458106246
1350,-0.202687395
14323,0.590875948
2125,0.343230884
5153,-4.429565882
10530,0.0
10727,-0.528848002
12066,-2.762756153
12072,0.0
10414,-0.107731802
964,-0.640636938
5281,-0.731098051
10399,-0.014692163
15207,-0.473097282
5705,-2.051539554
12794,-0.322145088
4257,-2.315244415
5685,-1.239900023
10082,-1.003502152
11231,0.211686656
7549,-0.250992254
10312,-0.453829505
8965,0.0
3788,0.024337725
14724,0.0
6669,-3.002734273
2274,2.619965628
1207,-1.837636594
10760,-0.729377377
6663,0.0
10835,-0.378845671
10168,0.0
8343,-1.427454412
4824,0.0
7214,-0.414557806
12273,-1.263694972
13174,-0.537942198
14304,-0.685319595
8999,0.056419657
6502,0.014941736
4106,0.509797517
1632,0.0
528,-1.531655538
5289,1.168905447
12555,-2.643754942
9760,0.250474996
8409,0.0
8154,-1.434649583
12113,2.848229204
1816,-0.170763033
15314,-0.177962375
4707,0.0
2726,-1.461070972
13678,1.280409064
9208,4.031998894
11310,-1.3072333
1883,-1.493374239
5018,-1.096698902
11989,-0.767143171
9288,-1.061994312
10788,2.019231332
2282,-0.487481294
12482,0.091917434
6509,-0.140712726
2840,-0.437355535
4691,-0.089581478
3404,-0.325494809
1454,-0.736563828
2476,0.092738073
5486,-1.152071261
14424,-3.162838569
11547,-1.317568285
15137,1.161843798
4305,-1.869247838
12958,1.050937653
413,-0.449384361
11662,1.084249915
2051,-0.341762813
4734,-0.053675524
12491,0.0
7085,-0.837520416
7958,-1.467645187
4998,0.0
10550,0.0
8248,-1.513585559
6244,-0.399232106
9668,0.529385465
2360,-2.737222213
571,3.981686469
13255,-1.026236399
7694,0.060808143
9229,0.035383613
1316,3.108988018
10263,-0.475609487
6347,0.0
3084,0.399084297
8924,-0.132829724
1510,0.142684575
1467,0.161410299
6952,0.038657598
11081,0.002412526
9252,-0.973458792
8646,-1.231552161
3295,-0.522924079
6228,3.850245606
7410,-1.543953594
14004,0.0
10506,-1.206354829
6969,-1.039170767
4760,0.230156912
8918,-0.965826656
14357,0.766910451
7952,-0.511402989
4531,-0.351649327
4685,-0.14972927
11746,-0.479373158
10766,0.021099552
3151,3.254724503
563,3.296473762
6941,2.909987912
12160,-1.381497393
5012,-1.038505988
8956,0.115031671
11311,0.549162335
4316,-2.396135205
7139,-0.743974963
9949,0.0
12592,0.902641218
15310,0.0
881,0.0
7521,-0.885309812
765,0.10222785
12419,-0.07249156
8540,2.959662735
15178,-2.195549642
4270,1.353730537
2592,-0.705564443
4607,-3.260302181
689,0.065389244
9953,0.0
976,-0.466843595
6141,0.033407269
9904,0.0
8137,0.0
14537,-1.710683588
13109,-0.586464915
10301,-0.503823806
12728,-0.324868296
12006,1.3670289
10838,4.322224601
7845,1.203989581
1762,-0.931127909
771,0.0
8210,0.0
4921,0.0
8502,0.936731498
722,-0.226788157
14571,-1.946233348
10320,0.711179252
9073,0.0
3511,-1.283198184
8414,0.607195295
5404,-0.199862343
6427,-0.260907895
357,0.102600289
13710,-0.54546063
2501,-1.064110549
6085,-1.954602167
5444,-0.08080262
10058,1.252530863
12350,-0.948819297
7306,-0.151852342
1968,-1.471935999
3571,-4.361644611
10516,-0.14603367
7227,-0.298215411
9793,0.0
14721,-0.031708955
14865,-1.233137223
12327,-0.385842633
6491,0.547392606
14117,-2.35633635
2087,-0.69000076
3942,0.708949576
2344,1.03918409
3618,-0.579218706
4751,-1.435337727
2672,-0.434375274
13870,-0.860365021
13917,-0.225966833
10473,0.136634982
10004,0.054868639
3327,0.0
8076,-0.250224694
8047,-0.417862765
520,-1.563102648
11069,-0.201601659
5255,0.0
11620,-0.332326964
8736,-0.596686063
14889,3.267469799
3650,-0.995156822
273,-0.529338685
12020,0.0
741,0.0
12802,1.213850218
4044,-1.072917317
11109,-0.585933988
11559,0.183320631
6619,-0.354124032
8625,-0.973419633
6095,0.186220295
3742,-0.913899927
8079,0.807622049
9754,0.033058551
1074,-1.113286887
14181,-0.167397545
14220,0.066827302
873,-0.366989403
4920,0.0
11886,-0.645479594
14247,-1.052772575
15195,-0.120082808
1879,-1.053545663
15402,-4.543482649
14102,-1.081082501
11578,0.188162546
10356,0.557691968
3562,0.0
6043,0.0
1270,0.0
2453,-1.122208807
5447,3.536278295
5681,0.0
9891,0.037790988
3496,-0.791812381
9209,-0.76873619
1174,-0.154958744
10088,3.837937554
14050,0.0
14639,0.0
1477,0.0
14034,-0.303462271
6410,0.0
13508,-0.069091004
4458,-0.404045105
12187,1.760727606
2401,-1.467056309
12600,-0.58378132
7163,-0.771672733
4286,-0.83988202
6183,-0.29958472
4686,0.0
1440,0.0
4323,-0.836371804
12564,0.0
3059,2.841905927
2559,2.525770834
13048,-1.428882439
13686,0.0
15264,2.508258991
9880,3.367190586
14773,1.987302518
4543,0.0
11789,-0.975777301
2827,-2.882167004
9614,0.03432628
12122,3.767763676
6257,0.34561622
1203,0.0
2222,-2.06144323
3989,-2.601216014
2072,-0.529541744
9459,0.455654137
8247,-0.762813703
6938,-3.65608201
1971,-0.389561536
14146,2.719416492
14434,3.023453028
6029,0.0
4910,-1.375420449
12158,0.43659458
10101,0.0
3113,0.0
3400,0.214501944
221,0.0
14857,0.088522532
2608,0.328938966
14710,0.0
6611,0.0
13167,-3.065598471
13259,0.686192661
3587,0.0
3748,0.006162708
3958,-0.844752027
10057,-0.329116701
11611,0.0
4985,-1.227742744
6660,0.0
195,-0.610435008
7384,-1.320356178
12929,1.122563209
5449,3.721743504
4634,4.511001032
597,-0.018286476
6236,-0.792330048
2062,0.0
8543,2.607507602
10208,0.0
4074,0.0
6210,-1.542925197
5490,0.0
11938,-2.043541594
2982,0.991244654
6893,-0.185481689
8032,-0.563830326
6470,-0.776666808
12595,-2.531022558
14576,-2.39461638
2460,0.0
3684,0.0
12322,-3.265525566
2520,-1.298209522
2227,1.176066865
6847,-0.719198529
1288,-0.664129598
9741,0.508614307
15213,0.290317745
11653,0.0
2950,-0.225398982
3901,0.0
5152,2.492159935
8921,0.0
13937,0.0
9699,0.289572591
12644,-0.427326213
2493,-0.375813739
3050,-1.325554615
1748,-0.465413485
13528,0.0
13246,1.171935667
9466,0.0
4327,0.0
10228,-0.503551119
2331,0.0
5861,-1.859148287
5751,-1.377309811
3559,-0.636876543
753,-0.574800448
11901,0.0
3004,-0.016444548
7533,-0.867842578
7650,-0.784078919
8637,1.2771738
9292,-0.082227227
3460,1.206140208
4404,-0.983099564
7396,-0.860826356
2689,0.0
10081,-0.08335116
11838,-1.472583943
1218,-3.218651804
15282,-0.326725208
4280,-0.097015522
9554,-0.251552848
404,-0.918975439
6838,0.204561445
14113,-1.936133296
15191,0.0
2253,-0.484021281
11693,-0.846364938
4150,0.264021924
10809,-0.096378764
2364,0.824390298
7690,-0.977001508
8601,0.0
9912,-0.160940183
5899,0.0
11725,-0.773879298
6747,-0.284854398
7490,-2.703994941
14449,0.0
5590,-0.447777082
866,-0.111314778
13339,-0.873638797
7847,-1.231917699
9502,0.0
6017,-0.114216967
12435,0.0
12050,1.114310024
15407,0.169786552
8589,0.0
2980,0.0
4036,-0.114409704
13434,-0.670637433
15066,-0.850651513
12098,-6.312457578
13193,0.0
3491,-0.67948602
9298,-0.746913554
13563,-1.411206925
1781,0.0
10310,0.09344716
10776,0.093920627
7221,-1.725021511
3752,-1.220596758
14587,-0.020250037
6474,-0.178851445
13180,-0.292660677
9499,0.445364607
1921,-0.960393399
8862,0.126510911
4574,-0.157380601
8432,-0.167038827
12518,2.162120231
2239,-0.245643317
11202,1.283726958
855,-0.433722977
6033,2.990593279
5494,0.0
1097,0.0
2781,0.0
1088,-0.438974814
790,0.224509618
1835,-1.314759174
10239,-0.576484221
14212,-0.410467559
2354,0.309606243
6223,-0.110490859
11407,0.0
10705,0.0
13401,-0.989322018
5830,-1.71255694
15361,-0.885866656
3455,-1.291142014
8189,-0.852817882
14725,0.428613812
12416,-0.603443077
5966,-0.867671748
1865,2.34896375
4205,-0.382385355
6790,0.0
6885,2.889733589
614,1.223225384
3770,-1.057505092
188,-0.38477583
4155,0.467456277
2797,1.26128286
8810,-1.066368482
4625,0.0
8549,-0.531104758
12826,2.033482629
2788,-5.663571183
10985,-0.046743916
5677,-0.719849734
538,0.0
7924,-0.861177037
6950,0.0
4265,-0.588867121
2142,0.0
7140,0.956663213
1597,-0.480706066
9680,0.0
6504,-0.246534902
3722,-0.286796925
14042,-0.315291184
8726,-0.081711274
15356,0.0
15465,0.0
2035,1.990255775
5000,-1.140559699
4514,4.016475344
9108,0.4610283
6534,0.0
2416,-1.831710727
183,0.110697545
8428,0.079138679
12424,0.347133253
5525,-1.410854623
10743,1.579407286
11592,-0.220434398
5872,-1.369834947
6874,0.0
6160,0.0
9820,0.0
11282,-0.71610994
7272,-0.405307602
7025,-0.161967512
12447,-0.064687971
14054,0.0
11878,-1.453578433
4861,-1.924346359
4196,0.0
13637,0.0
5660,-1.436906287
9771,-0.331188595
13893,-1.237256524
12687,-1.324658305
9897,-0.016407473
5714,-1.357894282
377,-0.505465277
7686,0.056839765
3179,-0.418215138
8176,0.0
14734,-0.146173571
14666,0.0
10804,0.063690415
8903,-0.864653993
9167,0.709419259
7612,-0.517085496
2540,0.0
3311,-0.434925882
8876,1.074408212
13631,0.0
9420,0.108022612
6073,1.665818553
8979,-0.707825191
13012,-0.705224071
4228,0.0
3490,-0.777769542
13684,1.474261895
1266,0.122717975
2755,0.0
