,Bug 1,Bug 2,Carbon,1 on 2: Effect,2 on 1: Effect,monoGrow_x,metDis,monoGrow_y,monoGrow24_x,monoGrow24_y,carbon_component_0,carbon_component_1,carbon_component_2,carbon_component_3,phy_strain_component_0_x,phy_strain_component_1_x,phy_strain_component_0_y,phy_strain_component_1_y
18,PP,BI,Acetate,3.096874138,-0.050831604,1852.233739,11737.90345,17.78568972,207.92033040781257,-42.928978291146336,-2127.4663066997928,1669.5403779506332,469.92431183759584,-745.3533607302422,1.7082373371805837,0.0228923513977414,-0.7807537139600523,0.0380225394363147
19,PAl,CF,Acetate,0.0,0.0,55.98748073,2850.981265,48.77976749,-29.10466017871772,-38.940435200575045,-2127.4663066997928,1669.5403779506332,469.92431183759584,-745.3533607302422,-0.5643511278633632,-0.250667083381068,-0.7747391645761742,0.0463737318058709
20,PAg2,CF,Acetate,0.0,0.0,-7.018267575,3152.420165,48.77976749,-10.611096590468604,-38.940435200575045,-2127.4663066997928,1669.5403779506332,469.92431183759584,-745.3533607302422,-0.6309041661015486,-0.2015744697433372,-0.7747391645761742,0.0463737318058709
21,PAg1,CF,Acetate,0.0,0.0,15.02481971,3156.968542,48.77976749,-57.56457651623623,-38.940435200575045,-2127.4663066997928,1669.5403779506332,469.92431183759584,-745.3533607302422,-0.6443154712889336,-0.2220118218825399,-0.7747391645761742,0.0463737318058709
22,PAg3,CF,Acetate,0.0,0.0,24.22620584,2825.847139,48.77976749,6.493217606349957,-38.940435200575045,-2127.4663066997928,1669.5403779506332,469.92431183759584,-745.3533607302422,-0.5989515583467925,-0.2484610553238693,-0.7747391645761742,0.0463737318058709
23,LA,CF,Acetate,0.0,0.491678092,76.19412972,2642.141439,48.77976749,-8.179287724208619,-38.940435200575045,-2127.4663066997928,1669.5403779506332,469.92431183759584,-745.3533607302422,-0.7710003090347234,0.0770753917642925,-0.7747391645761742,0.0463737318058709
24,EL,CF,Acetate,0.0,-0.45961077,337.8699023,2567.141895,48.77976749,-16.594884980789743,-38.940435200575045,-2127.4663066997928,1669.5403779506332,469.92431183759584,-745.3533607302422,-0.7347306548489613,-0.0440939376470185,-0.7747391645761742,0.0463737318058709
25,RP2,CF,Acetate,0.224825942,-0.353092681,224.9884616,2621.418162,48.77976749,18.57815977595305,-38.940435200575045,-2127.4663066997928,1669.5403779506332,469.92431183759584,-745.3533607302422,-0.7928518257374005,0.1173580381058817,-0.7747391645761742,0.0463737318058709
26,RP1,CF,Acetate,0.0,0.126510911,374.4295474,2307.839796,48.77976749,-44.06677434238349,-38.940435200575045,-2127.4663066997928,1669.5403779506332,469.92431183759584,-745.3533607302422,-0.796280534436652,0.1132262738115668,-0.7747391645761742,0.0463737318058709
27,SF1,CF,Acetate,0.0,0.106663706,7.755480413,3671.310429,48.77976749,-17.622735918709964,-38.940435200575045,-2127.4663066997928,1669.5403779506332,469.92431183759584,-745.3533607302422,-0.7354472493977712,0.2471410927598533,-0.7747391645761742,0.0463737318058709
28,KA,CF,Acetate,0.0,-0.154727711,86.05120162,1328.66454,48.77976749,-15.98388178336188,-38.940435200575045,-2127.4663066997928,1669.5403779506332,469.92431183759584,-745.3533607302422,-0.7612583622572914,0.0598887978357191,-0.7747391645761742,0.0463737318058709
29,CF,CF,Acetate,0.0,0.0,48.77976749,0.0,48.77976749,-38.940435200575045,-38.940435200575045,-2127.4663066997928,1669.5403779506332,469.92431183759584,-745.3533607302422,-0.7747391645761742,0.0463737318058709,-0.7747391645761742,0.0463737318058709
30,EC,CF,Acetate,0.0,3.681685103,43.7176934,26627.01389,48.77976749,-41.6212352,-38.940435200575045,-2127.4663066997928,1669.5403779506332,469.92431183759584,-745.3533607302422,-0.6435193071495694,-0.04782846145587,-0.7747391645761742,0.0463737318058709
31,EA,CF,Acetate,0.0,0.230825017,32.21086994,3578.442567,48.77976749,-19.572939585488147,-38.940435200575045,-2127.4663066997928,1669.5403779506332,469.92431183759584,-745.3533607302422,-0.7286059140580324,0.2582533144674926,-0.7747391645761742,0.0463737318058709
32,PK,CF,Acetate,0.0,-0.082188261,2399.145788,18340.17212,48.77976749,-72.42289436203862,-38.940435200575045,-2127.4663066997928,1669.5403779506332,469.92431183759584,-745.3533607302422,1.734465090778677,0.0343645341896359,-0.7747391645761742,0.0463737318058709
33,PR1,CF,Acetate,1.51615898,-0.111715931,2327.338169,15616.3939,48.77976749,-74.89519611220658,-38.940435200575045,-2127.4663066997928,1669.5403779506332,469.92431183759584,-745.3533607302422,1.62148647467857,-0.002116133365859,-0.7747391645761742,0.0463737318058709
34,PAr,CF,Acetate,0.0,0.139367992,1388.915272,11814.71094,48.77976749,-86.33187643657061,-38.940435200575045,-2127.4663066997928,1669.5403779506332,469.92431183759584,-745.3533607302422,1.5779525775593926,-0.0142748062335358,-0.7747391645761742,0.0463737318058709
