,Bug 1,Bug 2,Carbon,monoGrow_x,metDis,monoGrow_y,monoGrow24_x,monoGrow24_y,carbon_component_0,carbon_component_1,carbon_component_2,carbon_component_3,phy_strain_component_0_x,phy_strain_component_1_x,phy_strain_component_0_y,phy_strain_component_1_y
2971,PAr,PAg3,Sucrose,-5.568418522,12023.59806,686.7711897,-107.20217821493202,448.5530145164283,-2689.207894007573,2758.239159096253,-4003.379981210841,4360.020146252447,1.5779525775593926,-0.0142748062335358,-0.5989515583467925,-0.2484610553238693
5912,CF,RP1,Arginine,-2.536472294,2307.839796,51.58961739,-48.84652920858185,-50.75178749185909,-1129.935928584828,3502.6115764486026,-36.78411927863289,-1543.010452599992,-0.7747391645761742,0.0463737318058709,-0.796280534436652,0.1132262738115668
13010,PR1,PAr,Pyruvate,3732.636905,6138.631629,2547.147359,81.26703349126069,236.07833432478049,2948.202194327789,3875.839637567356,1373.0798365124526,312.5572073877007,1.62148647467857,-0.002116133365859,1.5779525775593926,-0.0142748062335358
2158,PAr,PAg1,Glucose01,845.632255,11540.84467,83.56343619,91.10209886178497,1.29779309423418,-3498.5210735170613,-668.5771724619559,34.74663611455266,-476.3321488083415,1.5779525775593926,-0.0142748062335358,-0.6443154712889336,-0.2220118218825399
10255,PAg3,EA,Raffinose,-5.387227892,2265.106137,-0.61984822,0.0625558349248649,-20.233022953789032,-4940.437649331323,-2342.738629531002,181.70556618915427,-271.3795787270663,-0.5989515583467925,-0.2484610553238693,-0.7286059140580324,0.2582533144674926
6778,PK,SF1,Fumarate,3181.241737,20209.49062,-6.030823688,1422.5420861809985,-13.28696880779478,-1109.7987677274416,3536.582028637915,422.8306259242859,-922.8124517836892,1.734465090778677,0.0343645341896359,-0.7354472493977712,0.2471410927598533
2449,PAg3,PAg3,Proline01,123.2337521,0.0,123.2337521,8.044447694098267,8.044447694098267,-3596.306299453788,-268.0285673898953,262.2626062599346,-271.902723882693,-0.5989515583467925,-0.2484610553238693,-0.5989515583467925,-0.2484610553238693
4804,PAg3,RP2,Succinate,446.5607614,1948.097629,12.05444505,5.772136453625876,7.8647985346150335,-492.129761316511,3883.979543166541,683.8780109038099,-547.0296480788238,-0.5989515583467925,-0.2484610553238693,-0.7928518257374005,0.1173580381058817
3600,EC,LA,Melezitose,3.43455535,28495.55031,19.69601711,-47.19521069999996,13.560059051202073,-5011.342115777467,-2263.3790096722782,132.0093092392279,-402.5875347805217,-0.6435193071495694,-0.04782846145587,-0.7710003090347234,0.0770753917642925
12451,PAl,PAr,Uridine,24.26165224,12431.63287,222.9506901,-15.22888085815839,-92.53539790150796,-3560.7358050403977,-1562.526406150641,1570.3753444107017,-599.4438837790732,-0.5643511278633632,-0.250667083381068,1.5779525775593926,-0.0142748062335358
8873,RP1,CF,Serine,16.1364286,2307.839796,149.9287481,-47.74110497312632,-35.64782420336519,-2788.449131408402,1881.6342611257503,-1751.9151684974338,-105.7903740546841,-0.796280534436652,0.1132262738115668,-0.7747391645761742,0.0463737318058709
1999,EC,PAg1,Glucose,7431.837628,27188.74531,731.3316399,331.7519358,664.2884428241076,6993.702758671064,1677.726611654751,660.7704706046808,3077.1319408875897,-0.6435193071495694,-0.04782846145587,-0.6443154712889336,-0.2220118218825399
395,KA,PAl,GlcNAc,838.1604174,2735.116465,104.8927423,413.4660153999441,84.01876685514867,2605.0300383812646,-701.6177193137013,-4124.15408876552,3189.88327600666,-0.7612583622572914,0.0598887978357191,-0.5643511278633632,-0.250667083381068
2063,EA,PAg1,Lactose,362.5836142,3459.803524,-1.872062597,-15.595426802458976,-67.53775597891786,4030.8857189822543,-8472.949601319571,-1673.018014133581,822.9364983016548,-0.7286059140580324,0.2582533144674926,-0.6443154712889336,-0.2220118218825399
14230,RP2,PH,Lactose,561.865665,17953.62644,1.703420467,266.85458677259703,-170.58843889918126,4030.8857189822543,-8472.949601319571,-1673.018014133581,822.9364983016548,-0.7928518257374005,0.1173580381058817,1.675692322398025,0.0107785747182994
12697,RP1,PAr,Pyruvate,476.2049351,12292.86491,2547.147359,173.13761585323232,236.07833432478049,2948.202194327789,3875.839637567356,1373.0798365124526,312.5572073877007,-0.796280534436652,0.1132262738115668,1.5779525775593926,-0.0142748062335358
9177,PR1,CF,Pyruvate01,514.7024248,15616.3939,45.34091897,-19.228024948394925,-18.559137821021864,-3806.052493422824,-973.2049868701582,289.13287850378003,-91.69461650408572,1.62148647467857,-0.002116133365859,-0.7747391645761742,0.0463737318058709
10133,PAl,EA,Trehalose,755.2472702,2185.499199,396.5438662,75.6550668715289,215.3112392131593,2811.75714720898,-1159.308043177844,-3721.7069147277375,-1751.0798820505725,-0.5643511278633632,-0.250667083381068,-0.7286059140580324,0.2582533144674926
1640,PAg3,PAg1,Xylose,220.336616,1521.943693,693.9718437,125.69044603174724,83.7463295724906,-262.62735676487785,-1831.719518216824,4975.540851918478,1225.075731282064,-0.5989515583467925,-0.2484610553238693,-0.6443154712889336,-0.2220118218825399
12459,PAg2,PAr,Galactose,192.2369965,12044.20878,2446.872613,149.1717607713399,27.95257663005361,8198.217860856765,-3472.529591636279,1585.0405516719188,347.43177064176416,-0.6309041661015486,-0.2015744697433372,1.5779525775593926,-0.0142748062335358
4768,PAg1,RP2,Mannitol,1266.185142,2848.933879,431.4496891,504.93556533999634,363.4316726366828,4703.716698953833,-39.59385830218482,2060.655140294677,1986.6680726624932,-0.6443154712889336,-0.2220118218825399,-0.7928518257374005,0.1173580381058817
8869,RP1,CF,Glycerol01,89.41013062,2307.839796,144.9004534,8.130140938543606,27.87531542504928,-2693.764801775901,-38.33286753751476,17.417784035200434,-505.83857085624544,-0.796280534436652,0.1132262738115668,-0.7747391645761742,0.0463737318058709
