,index,accuracy,mcc,recall,precision,accuracy_with_mono,mcc_with_mono,recall_with_mono,precision_with_mono,accuracy_without_mono,mcc_without_mono,recall_without_mono,precision_without_mono,accuracy_copy_model,mcc_copy_model,recall_copy_model,precision_copy_model
10,Galactose,0.9230769230769231,0.6460480487098935,0.5454545454545454,0.8571428571428571,0.8846153846153846,0.5598461977359754,0.6229508196721312,0.6333333333333333,0.823076923076923,0.2772680530346722,0.4117647058823529,0.35,0.7983870967741935,0.05580684237796761,0.21875,0.12280701754385964
11,GlcNAc,0.8970588235294118,0.6840719826074151,0.8333333333333334,0.6666666666666666,0.8962765957446809,0.6541618052537843,0.9743589743589743,0.5,0.8111702127659575,0.300633523725784,0.5675675675675675,0.27631578947368424,0.8,0.33280065866221803,0.5172413793103449,0.39473684210526316
12,Glucose,0.9078947368421053,0.5490553917419932,0.5,0.7142857142857143,0.8928571428571429,0.4161522247923509,0.4523809523809524,0.5,0.9107142857142857,0.3097829068492982,0.6363636363636364,0.18421052631578946,0.9025641025641026,0.253752180692173,0.4666666666666667,0.1891891891891892
13,Glucose01,0.9253731343283582,0.5317667610268914,0.42857142857142855,0.75,0.8976982097186701,0.3387708440326945,0.5789473684210527,0.2558139534883721,0.9002557544757033,0.2886370004254581,0.8333333333333334,0.11627906976744186,0.8355437665782494,0.21822494789148422,0.2978723404255319,0.32558139534883723
14,Glutamine,0.8648648648648649,0.7094471209267851,0.875,0.75,0.8320413436692506,0.6057305641559371,0.81,0.6377952755905512,0.6976744186046512,0.2142106135638142,0.8125,0.10236220472440945,0.6773333333333333,0.1408917836275047,0.4807692307692308,0.21008403361344538
15,Glycerol,0.8421052631578947,0.6225317562548818,0.6666666666666666,0.8,0.8010752688172043,0.34469315211551016,0.75,0.23863636363636365,0.782258064516129,0.23852090701143927,0.7692307692307693,0.11363636363636363,0.7616438356164383,0.16808433138359047,0.45454545454545453,0.17857142857142858
16,Glycerol01,0.9090909090909091,0.3499301620057195,0.2222222222222222,0.6666666666666666,0.8469656992084432,0.041243547668872255,0.14814814814814814,0.10256410256410256,0.8944591029023746,0.28035702863881307,0.47368421052631576,0.23076923076923078,0.8130311614730878,0.049634871624786206,0.14285714285714285,0.16666666666666666
17,Isoleucine,0.8955223880597015,0.7424258698676952,0.631578947368421,1.0,0.7702020202020202,0.4517728314559874,0.546875,0.6796116504854369,0.7878787878787878,0.44543548194252186,0.594059405940594,0.5825242718446602,0.7642487046632125,0.43585695101014477,0.528,0.673469387755102
18,Lactose,0.8933333333333333,0.7292142969457142,0.8421052631578947,0.7619047619047619,0.8614609571788413,0.6630591197308051,0.8764044943820225,0.639344262295082,0.6624685138539043,0.017815246108853725,0.3333333333333333,0.09836065573770492,0.6963350785340314,0.29600049686366825,0.5,0.5344827586206896
19,Maltose,0.8961038961038961,0.720508166969147,0.7894736842105263,0.7894736842105263,0.8768844221105527,0.6938482833249112,0.8037383177570093,0.7543859649122807,0.7889447236180904,0.4977936514419755,0.6209677419354839,0.6754385964912281,0.75,0.4415480724126042,0.55,0.7
20,Mannitol,0.85,0.6386392673039034,0.6,0.8823529411764706,0.896358543417367,0.6566080985523347,0.95,0.5205479452054794,0.8263305322128851,0.3700214005858443,0.6571428571428571,0.3150684931506849,0.7407407407407407,0.13792503072276519,0.3220338983050847,0.2714285714285714
21,Mannose,0.8441558441558441,0.41045042487741595,0.46153846153846156,0.5454545454545454,0.8727735368956743,0.41214165133856423,0.6363636363636364,0.3559322033898305,0.6590330788804071,-0.012289412508688601,0.14285714285714285,0.2542372881355932,0.8,0.33280065866221803,0.39473684210526316,0.5172413793103449
22,Melezitose,0.9761904761904762,0.0,0.0,0.0,0.9717223650385605,0.0,0.0,0.0,0.9717223650385605,0.0,0.0,0.0,0.9741602067183462,0.0,0.0,0.0
23,Mix,0.9753086419753086,0.6980986836772426,0.5,1.0,0.9748743718592965,0.6371236847503463,0.75,0.5625,0.8869346733668342,0.07194659589475959,0.08571428571428572,0.1875,0.9025641025641026,0.253752180692173,0.1891891891891892,0.4666666666666667
24,Proline,0.8315789473684211,0.6587284044414241,0.7073170731707317,0.8787878787878788,0.7621483375959079,0.5222859965541582,0.8120300751879699,0.6136363636363636,0.5626598465473146,0.08088917161002306,0.6190476190476191,0.07386363636363637,0.6141732283464567,0.2151104830926093,0.5855263157894737,0.5144508670520231
25,Proline01,0.8941176470588236,0.3259341380258032,0.2,0.6666666666666666,0.8118279569892473,-0.018628740211177545,0.10714285714285714,0.0625,0.8279569892473119,0.12835900770256756,0.2647058823529412,0.1875,0.8130311614730878,0.049634871624786206,0.16666666666666666,0.14285714285714285
26,Pyruvate,0.8405797101449275,0.31420587032607844,0.25,0.6,0.884020618556701,0.4111232947360566,0.6428571428571429,0.33962264150943394,0.8582474226804123,0.1977156318616703,0.4444444444444444,0.1509433962264151,0.8601036269430051,0.16697063741004084,0.42857142857142855,0.11538461538461539
27,Pyruvate01,0.8461538461538461,0.24567799069467633,0.2,0.5,0.8678756476683938,0.1679659821909899,0.4,0.125,0.7979274611398963,0.21729384462634393,0.27941176470588236,0.3958333333333333,0.8355437665782494,0.21822494789148422,0.32558139534883723,0.2978723404255319
28,Raffinose,0.8524590163934426,0.669928142869513,0.7619047619047619,0.8,0.824607329842932,0.5998307336961062,0.7086614173228346,0.75,0.6701570680628273,0.009196990082051812,0.3333333333333333,0.05,0.47368421052631576,-0.06736737760023566,0.2810810810810811,0.4369747899159664
29,Rhamnose,0.9195402298850575,0.8061755700527194,0.8461538461538461,0.88,0.8549222797927462,0.6848714679467571,0.9047619047619048,0.6737588652482269,0.7590673575129534,0.45988851054173585,0.7448979591836735,0.5177304964539007,0.75,0.4415480724126042,0.7,0.55
30,Ribose,0.8831168831168831,0.6236626612755944,0.625,0.7692307692307693,0.8828337874659401,0.6859994604864179,0.8192771084337349,0.7083333333333334,0.8038147138964578,0.4666067368366275,0.65,0.5416666666666666,0.8191780821917808,0.5471968058538217,0.638095238095238,0.7052631578947368
31,Serine,0.875,0.7421018697614442,0.8484848484848485,0.8484848484848485,0.6532663316582915,0.3269402148623146,0.8421052631578947,0.2711864406779661,0.5326633165829145,-0.04906405466869474,0.36363636363636365,0.06779661016949153,0.6086956521739131,0.1987498972516958,0.5695364238410596,0.4942528735632184
32,Sorbitol,0.8939393939393939,0.7644793757025894,0.8636363636363636,0.8260869565217391,0.9272727272727272,0.8325434199100326,0.9615384615384616,0.8064516129032258,0.7220779220779221,0.28816589223511446,0.6666666666666666,0.27419354838709675,0.6963350785340314,0.29600049686366825,0.5344827586206896,0.5
33,Succinate,0.8461538461538461,0.6564482029598309,0.7727272727272727,0.7727272727272727,0.7532133676092545,0.47853292974697675,0.7293233082706767,0.6178343949044586,0.6735218508997429,0.29476686272236374,0.65625,0.4012738853503185,0.7712765957446809,0.5177878898161153,0.7407407407407407,0.6622516556291391
34,Sucrose,0.8953488372093024,0.7245136351572019,0.7391304347826086,0.85,0.8743718592964824,0.7181745416572968,0.7941176470588235,0.8307692307692308,0.5577889447236181,-0.021488410150134377,0.3114754098360656,0.2923076923076923,0.6443850267379679,0.11322633536897116,0.4342105263157895,0.2682926829268293
35,Sucrose01,0.7272727272727273,0.0583800408472737,0.10526315789473684,0.3333333333333333,0.8060453400503779,0.046976652727795075,0.26666666666666666,0.05714285714285714,0.7531486146095718,0.15015290519877675,0.3,0.3,0.7520891364902507,-0.028558580307729346,0.14705882352941177,0.07692307692307693
36,Trehalose,0.9487179487179487,0.8199200616907878,0.7142857142857143,1.0,0.9343434343434344,0.7636751631367196,0.9245283018867925,0.6901408450704225,0.8106060606060606,0.3165755672337736,0.4666666666666667,0.39436619718309857,0.848404255319149,0.3915068806364027,0.6666666666666666,0.3235294117647059
37,Uridine,0.8513513513513513,0.6963077088414735,0.8387096774193549,0.8125,0.5365239294710328,0.09490264336224222,0.6388888888888888,0.11855670103092783,0.5188916876574308,0.03912880971253465,0.5714285714285714,0.061855670103092786,0.5221932114882507,0.034628752673150076,0.5319148936170213,0.13440860215053763
38,Xylose,0.8227848101265823,0.5824201666474113,0.68,0.7391304347826086,0.8664921465968587,0.6601438997179756,0.7623762376237624,0.7403846153846154,0.7879581151832461,0.4391309994051299,0.632183908045977,0.5288461538461539,0.7926136363636364,0.47288055747143587,0.6373626373626373,0.5918367346938775
